word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Say,0,3,0.6024,0.7229,wav2vec2_ctc_forced_alignment,-0.05276,1,12,1,1,True,240,32,88,103,-0.00053,1,True,False,True,0.7
1,twenty,4,10,0.8032,1.0241,wav2vec2_ctc_forced_alignment,-0.05276,1,22,2,2,True,242,30,87,103,-0.00032,2,True,False,True,0.9
2,percent,11,18,1.0844,1.4458,wav2vec2_ctc_forced_alignment,-0.05276,1,36,4,4,True,242,27,87,102,-0.06884,4,True,False,True,1.3
3,so,19,21,1.5864,1.7269,wav2vec2_ctc_forced_alignment,-0.05276,1,14,2,2,True,242,28,88,101,-9e-05,2,True,False,True,1.7
4,if,22,24,1.9478,1.988,wav2vec2_ctc_forced_alignment,-0.05276,1,4,0,0,True,245,26,88,99,-0.00034,0,True,True,True,2.0
5,you've,25,31,2.0482,2.2089,wav2vec2_ctc_forced_alignment,-0.05276,3,16,2,2,True,245,25,88,99,-0.04636,2,True,False,True,2.1
6,got,32,35,2.249,2.3294,wav2vec2_ctc_forced_alignment,-0.05276,1,8,1,1,True,245,25,90,103,-0.30611,1,True,False,True,2.3
7,a,36,37,2.3896,2.4097,wav2vec2_ctc_forced_alignment,-0.05276,1,2,1,1,True,245,26,89,103,-0.008,1,True,False,True,2.4
8,thousand,38,46,2.4699,2.7912,wav2vec2_ctc_forced_alignment,-0.05276,1,33,3,3,True,242,29,87,101,-0.00096,3,True,False,True,2.6
9,square,47,53,2.8113,3.0523,wav2vec2_ctc_forced_alignment,-0.05276,1,24,2,2,True,236,26,87,103,-0.08941,2,True,False,True,2.9
10,foot,54,58,3.1125,3.2932,wav2vec2_ctc_forced_alignment,-0.05276,1,18,1,1,True,232,25,85,105,-0.02119,1,True,False,True,3.2
11,condo,59,64,3.6949,4.0362,wav2vec2_ctc_forced_alignment,-0.05276,1,34,4,4,True,226,29,84,103,-0.08813,4,True,False,True,3.9
