word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,You,0,3,0.4814,0.5616,wav2vec2_ctc_forced_alignment,-0.58656,1,8,1,1,True,179,66,205,229,-0.00138,1,True,False,True,0.5
1,know,4,8,0.6017,0.702,wav2vec2_ctc_forced_alignment,-0.58656,1,10,1,1,True,177,67,204,231,-0.0004,1,True,False,True,0.7
2,that,9,13,0.7421,0.8224,wav2vec2_ctc_forced_alignment,-0.58656,1,8,1,1,True,176,66,202,230,-10.47821,1,True,False,True,0.8
3,I,14,15,0.8625,0.8825,wav2vec2_ctc_forced_alignment,-0.58656,1,2,0,0,True,175,65,203,232,-11.26657,0,True,True,True,0.9
4,think,16,21,0.9026,1.063,wav2vec2_ctc_forced_alignment,-0.58656,1,16,1,1,True,173,65,202,232,-0.05121,1,True,False,True,1.0
5,listening,22,31,1.4843,1.8854,wav2vec2_ctc_forced_alignment,-0.58656,1,40,4,4,True,179,84,211,232,-0.0218,4,True,False,True,1.7
6,to,32,34,1.9456,2.0057,wav2vec2_ctc_forced_alignment,-0.58656,1,6,1,1,True,171,75,212,233,-4e-05,1,True,False,True,2.0
7,young,35,40,2.0659,2.2264,wav2vec2_ctc_forced_alignment,-0.58656,1,16,2,2,True,172,78,205,223,-0.00028,2,True,False,True,2.1
8,people,41,47,2.3066,2.5674,wav2vec2_ctc_forced_alignment,-0.58656,1,26,2,2,True,166,66,206,231,-0.01986,2,True,False,True,2.4
9,taking,49,55,2.7078,3.0287,wav2vec2_ctc_forced_alignment,-0.58656,1,32,3,3,True,173,85,208,225,-0.00987,3,True,False,True,2.9
10,in,56,58,3.0889,3.129,wav2vec2_ctc_forced_alignment,-0.58656,1,4,1,1,True,175,88,204,219,-0.00087,1,True,False,True,3.1
11,what,59,63,3.2293,3.3697,wav2vec2_ctc_forced_alignment,-0.58656,1,14,1,1,True,177,88,201,223,-0.00193,1,True,False,True,3.3
12,they,64,68,3.4098,3.5301,wav2vec2_ctc_forced_alignment,-0.58656,1,13,1,1,True,173,89,206,226,-0.07386,1,True,False,True,3.5
13,have,69,73,3.6103,3.7507,wav2vec2_ctc_forced_alignment,-0.58656,1,14,1,1,True,172,88,203,224,-0.00681,1,True,False,True,3.7
14,to,74,76,3.7909,3.8711,wav2vec2_ctc_forced_alignment,-0.58656,1,8,1,1,True,173,85,201,228,-0.0001,1,True,False,True,3.8
15,say,77,80,3.9513,4.1318,wav2vec2_ctc_forced_alignment,-0.58656,1,18,2,2,True,169,83,206,222,-3e-05,2,True,False,True,4.0
16,because,81,88,4.2321,4.4528,wav2vec2_ctc_forced_alignment,-0.58656,1,22,2,2,True,169,77,207,221,-2e-05,2,True,False,True,4.3
17,what,89,93,4.874,4.9743,wav2vec2_ctc_forced_alignment,-0.58656,1,10,1,1,True,190,71,190,210,-8e-05,1,True,False,True,4.9
18,we,94,96,5.0144,5.0745,wav2vec2_ctc_forced_alignment,-0.58656,1,6,0,0,True,180,69,194,214,-0.00036,0,True,True,True,5.0
19,have,97,101,5.0946,5.1949,wav2vec2_ctc_forced_alignment,-0.58656,1,10,1,1,True,174,68,198,219,-2.46488,1,True,False,True,5.1
20,seen,102,106,5.2551,5.4356,wav2vec2_ctc_forced_alignment,-0.58656,1,18,2,2,True,160,66,202,221,-0.0012,2,True,False,True,5.3
21,all,107,110,5.576,5.6963,wav2vec2_ctc_forced_alignment,-0.58656,1,12,1,1,True,142,64,206,219,-0.00028,1,True,False,True,5.6
22,around,111,117,5.7565,5.937,wav2vec2_ctc_forced_alignment,-0.58656,1,18,2,2,True,145,68,202,215,-0.0662,2,True,False,True,5.8
23,the,118,121,5.9972,6.0574,wav2vec2_ctc_forced_alignment,-0.58656,1,6,1,1,True,147,65,203,220,-7e-05,1,True,False,True,6.0
24,world,122,127,6.1175,6.3382,wav2vec2_ctc_forced_alignment,-0.58656,1,22,2,2,True,151,70,201,213,-0.04417,2,True,False,True,6.2
25,is,128,130,6.5187,6.5789,wav2vec2_ctc_forced_alignment,-0.58656,1,6,0,0,True,164,68,196,212,-0.08511,0,True,True,True,6.5
26,the,131,134,6.619,6.6992,wav2vec2_ctc_forced_alignment,-0.58656,1,8,0,0,True,173,69,197,234,-0.03541,0,True,True,True,6.7
27,power,135,140,6.7594,7.0602,wav2vec2_ctc_forced_alignment,-0.58656,1,31,3,3,True,173,61,199,218,-0.14004,3,True,False,True,6.9
28,of,141,143,7.1405,7.1806,wav2vec2_ctc_forced_alignment,-0.58656,1,4,0,0,True,179,61,198,224,-0.00032,0,True,True,True,7.2
29,youth,144,149,7.2608,7.5617,wav2vec2_ctc_forced_alignment,-0.58656,1,30,3,3,True,178,63,200,223,-1.62493,3,True,False,True,7.4
