sample_id,true_class,predicted_class,true_intensity,intensity,p_negative,p_neutral,p_positive,confidence,absolute_error,raw_text,truncated,audio_rows,vision_rows
-UacrmKiTn4$_$7,2,2,0.3333333432674408,0.42403584718704224,0.13374131984680387,0.3464307699030299,0.5198279102501663,0.5198279102501663,0.09070250391960144,"You want your lectures to be different than your textbook material, but it's important that you test the students on the textbook.",False,26,26
-qDkUB0GgYY$_$5,2,2,2.0,0.6394205093383789,0.11404503752640514,0.22092724560062718,0.6650277168729677,0.6650277168729677,1.360579490661621,"One finished still within buy range, another hit profit-taking zone after breaking out a little while back, so to find out what all of those are, keep an eye out for the link in the description I'll have all of the analysis for you and make sure to share your comments with us.",True,48,48
0utROiKxejc$_$1,1,2,0.0,0.6033509373664856,0.13350922721268332,0.2575284374443128,0.6089623353430039,0.6089623353430039,0.6033509373664856,Business was good initially but companies has a tend to launch new products every month.,False,16,16
0utROiKxejc$_$4,1,0,0.0,-1.4269905090332031,0.9205255121362194,0.03040593082917984,0.04906855703460079,0.9205255121362194,1.4269905090332031,"When I approached the wholesalers regarding this, they didn't helped me and they will not accept returns and because of these conditions, I went into huge losses.",False,33,33
0y022OlZ3W0$_$3,2,2,1.3333333730697632,0.8998284339904785,0.1044727705089188,0.1423558673580019,0.7531713621330792,0.7531713621330792,0.43350493907928467,"God's not just an add on, He is the center of everything you do",False,17,17
0y022OlZ3W0$_$5,0,0,-1.3333333730697632,-0.8034095764160156,0.8636128431163187,0.05162022392641165,0.08476693295726954,0.8636128431163187,0.5299237966537476,"""But I don't want to shove it down my kid's throat and then they will reject it",False,22,22
0y022OlZ3W0$_$8,0,1,-0.3333333432674408,0.27393919229507446,0.18407030477698533,0.4273354912329546,0.38859420399006006,0.4273354912329546,0.6072725355625153,"Based on my experience, here's what I've seen",False,13,13
101787$_$11,1,1,0.0,0.04637230932712555,0.3221122195589612,0.4523684773016298,0.22551930313940893,0.4523684773016298,0.04637230932712555,"(uhh) His character hates tourist, so of course he has to spend a week with Anne Heche, a tourist, and they have some romantic involvement",False,32,32
101787$_$13,0,0,-1.6666666269302368,0.059670522809028625,0.47059510289395556,0.23031415332708918,0.2990907437789553,0.47059510289395556,1.7263371497392654,"It's kind of (uhh) Castaway like, except Castaway is really good",False,19,19
101787$_$1,0,1,-0.6666666865348816,0.07130849361419678,0.20090495769139521,0.5866677965981908,0.21242724571041394,0.5866677965981908,0.7379751801490784,"Which is a nineties Harrison Ford, semi-action, more romantic comedy flick",False,16,16
101787$_$5,0,0,-1.6666666269302368,-1.6489444971084595,0.9289532111155846,0.02859169323363109,0.042455095650784196,0.9289532111155846,0.017722129821777344,"(umm) pretty funny but all in all, not not worth the price of admission",False,17,10
101787$_$7,2,2,1.0,0.6185662746429443,0.10666533170063011,0.24645769363209494,0.6468769746672749,0.6468769746672749,0.38143372535705566,It was actually some good scenery in this,False,8,8
101787$_$9,0,1,-0.3333333432674408,0.027476385235786438,0.28595690647323424,0.5133260968800976,0.2007169966466681,0.5133260968800976,0.36080972850322723,"But (umm) Harrison Ford plays his (stutter) normal character, a gruff cargo pilot",False,19,19
102408$_$2,0,1,-0.3333333432674408,0.178966224193573,0.2777606323522329,0.44245684627415843,0.2797825213736086,0.44245684627415843,0.5122995674610138,(umm) not necessarily by choice,False,7,7
102408$_$5,0,2,-2.0,0.8557448983192444,0.1612154641492622,0.14532550007630593,0.6934590357744318,0.6934590357744318,2.8557448983192444,"I couldn't wait til it was over, but you know if you have little boys then, you know, they probably would like this movie",False,29,29
102408$_$9,0,0,-1.6666666269302368,-0.6210877895355225,0.8373012412512089,0.05514648251871208,0.10755227623007912,0.8373012412512089,1.0455788373947144,Maybe it's just because I don't have little boys so I'm not really into the little (uhh) characters like that,False,29,29
102858$_$20,2,2,2.0,0.17395609617233276,0.35547546905144023,0.23679582681501388,0.40772870413354584,0.40772870413354584,1.8260439038276672,"This thing, if you guys don't have it, you're going to need it for your holiday DVD list",False,24,24
102858$_$21,2,0,1.0,-0.25659042596817017,0.6576947388182622,0.19828451736324737,0.1440207438184903,0.6576947388182622,1.2565904259681702,"I'm giving this beast a four out of, (stutter) I mean, (uhh) wait, four, no",False,27,27
102858$_$1,2,1,0.3333333432674408,0.2656550407409668,0.1618826291678035,0.4614857755647932,0.3766315952674034,0.4614857755647932,0.067678302526474,"This is Helsing920 (stutter), and I've got a DVD review for everybody",False,22,22
102858$_$0,2,2,0.3333333432674408,0.6193348169326782,0.10405350232446611,0.23171231617690313,0.6642341814986308,0.6642341814986308,0.2860014736652374,"Hello, everybody",False,3,3
102858$_$4,2,2,3.0,0.4584008455276489,0.15223687970107333,0.3001432291603892,0.5476198911385374,0.5476198911385374,2.541599154472351,"This one disc contains not only Garfield, not only Garfield's Halloween, Halloween (stutter) Adventure, a special I've I've (stutter) watched almost every year since I was about four, but it also has Garfield's (stutter) Thanksgiving, which is a pretty funny little short, funny little special, and A Garfield's Christmas, which is just absolutely awesome",True,48,48
102858$_$6,2,1,2.6666667461395264,0.1574420928955078,0.2216968703090195,0.5093369064202293,0.2689662232707511,0.5093369064202293,2.5092246532440186,It's probably three of the best (stutter) holiday specials made in the last (uhh) let's see,False,26,26
102858$_$10,2,2,2.0,0.895768404006958,0.11664546404681352,0.15107288141913972,0.7322816545340469,0.7322816545340469,1.104231595993042,Regardless (umm) all three specials are just awesome,False,10,10
102858$_$17,2,1,1.0,0.0319000780582428,0.26317787799990366,0.5403813533201984,0.196440768679898,0.5403813533201984,0.9680999219417572,I watched this thing three times in three months,False,9,9
102858$_$19,1,1,0.0,0.1447443962097168,0.1855354481816883,0.5525535131974596,0.26191103862085213,0.5525535131974596,0.1447443962097168,"So, yeah, Garfield's Halloween, or Holiday Celebrations",False,12,12
112433$_$10,1,1,0.0,0.11147899925708771,0.17217765611946212,0.6321003518766338,0.19572199200390403,0.6321003518766338,0.11147899925708771,Okay,False,1,1
112433$_$3,0,0,-0.3333333432674408,-0.30988624691963196,0.6777429879538585,0.16898364977771116,0.15327336226843039,0.6777429879538585,0.023447096347808838,Half the movie was not fighting was you know backstabbing and underhand dealings and you never know who was on who's team and what was going on,False,32,32
112433$_$7,0,2,-0.6666666865348816,0.403505802154541,0.28044225707014697,0.24230803079555244,0.47724971213430056,0.47724971213430056,1.0701724886894226,You're really not missing out on anything,False,9,9
112433$_$6,0,0,-1.3333333730697632,-1.1898659467697144,0.8969285856347613,0.03215465861419967,0.07091675575103899,0.8969285856347613,0.14346742630004883,"(umm) Really, (uhh) unless you're a die hard fan, I would not recommend this one",False,24,24
117tQqLjza4$_$6,2,2,0.6666666865348816,0.4170057773590088,0.13979095706337208,0.3598741541130684,0.5003348888235596,0.5003348888235596,0.2496609091758728,"Dell has dell.com, one of the largest sites on the internet.",False,15,15
11j7EfglCAs$_$2,2,2,0.6666666865348816,0.4799743890762329,0.12823187767141242,0.30425938202508696,0.5675087403035005,0.5675087403035005,0.18669229745864868,It secures the fact that the creditor is going to be repaid for the service that they're giving.,False,24,16
