word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,What,0,4,0.5231,0.6438,wav2vec2_ctc_forced_alignment,-0.79622,1,12,1,1,True,339,62,136,158,-0.01466,1,True,False,True,0.6
1,are,5,8,0.6639,0.7444,wav2vec2_ctc_forced_alignment,-0.79622,1,8,1,1,True,340,64,136,155,-0.02239,1,True,False,True,0.7
2,you,9,12,0.7847,0.8651,wav2vec2_ctc_forced_alignment,-0.79622,1,8,1,1,True,340,63,137,157,-0.00856,1,True,False,True,0.8
3,doing,13,18,0.9054,1.1267,wav2vec2_ctc_forced_alignment,-0.79622,1,22,2,2,True,340,60,139,160,-0.1248,2,True,False,True,1.0
4,that's,19,25,1.187,1.3681,wav2vec2_ctc_forced_alignment,-0.79622,3,18,2,2,True,339,63,139,159,-0.08584,2,True,False,True,1.3
5,different,26,35,1.4084,1.7906,wav2vec2_ctc_forced_alignment,-0.79622,1,39,3,3,True,337,65,137,157,-0.01587,3,True,False,True,1.6
6,They,38,42,2.354,2.4546,wav2vec2_ctc_forced_alignment,-0.79622,1,10,1,1,True,336,72,137,164,-0.00042,1,True,False,True,2.4
7,always,43,49,2.5149,2.7765,wav2vec2_ctc_forced_alignment,-0.79622,1,26,2,2,True,332,72,137,156,-0.12349,2,True,False,True,2.6
8,want,50,54,2.8167,2.9978,wav2vec2_ctc_forced_alignment,-0.79622,1,18,1,1,True,329,75,140,161,-0.01549,1,True,False,True,2.9
9,an,55,57,3.0783,3.1185,wav2vec2_ctc_forced_alignment,-0.79622,1,4,1,1,True,330,75,140,163,-0.0153,1,True,False,True,3.1
10,answer,58,64,3.2191,3.6014,wav2vec2_ctc_forced_alignment,-0.79622,1,39,4,4,True,330,77,138,159,-3.92429,4,True,False,True,3.4
