word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,This,0,4,0.5819,0.7022,wav2vec2_ctc_forced_alignment,-0.10471,1,12,2,2,True,533,150,227,227,-0.0021,2,False,False,True,0.6
1,is,5,7,0.7825,0.8226,wav2vec2_ctc_forced_alignment,-0.10471,1,4,1,1,True,529,145,232,232,-0.00172,1,False,False,True,0.8
2,what’s,8,14,0.8828,1.0433,wav2vec2_ctc_forced_alignment,-0.10471,3,16,2,2,True,534,156,213,213,-0.00922,2,False,False,True,1.0
3,now,15,18,1.1035,1.2239,wav2vec2_ctc_forced_alignment,-0.10471,1,12,1,1,True,525,152,224,224,-0.00031,1,False,False,True,1.2
4,known,19,24,1.3041,1.5048,wav2vec2_ctc_forced_alignment,-0.10471,1,20,2,2,True,522,147,230,230,-0.00153,2,False,False,True,1.4
5,as,25,27,1.565,1.6252,wav2vec2_ctc_forced_alignment,-0.10471,1,6,1,1,True,526,154,227,227,-0.00035,1,False,False,True,1.6
6,racial,28,34,1.7255,1.9863,wav2vec2_ctc_forced_alignment,-0.10471,1,26,2,2,True,529,160,232,232,-0.14471,2,False,False,True,1.9
7,formation,35,44,2.0465,2.4478,wav2vec2_ctc_forced_alignment,-0.10471,1,40,4,4,True,530,158,235,235,-0.00132,4,False,False,True,2.2
8,theory,45,51,2.5481,2.7889,wav2vec2_ctc_forced_alignment,-0.10471,1,24,2,2,True,531,148,238,238,-2e-05,2,False,False,True,2.7
9,a,53,54,3.1099,3.13,wav2vec2_ctc_forced_alignment,-0.10471,1,2,0,0,True,509,137,252,252,-0.00124,0,False,True,True,3.1
10,theory,55,61,3.1901,3.3707,wav2vec2_ctc_forced_alignment,-0.10471,1,18,2,2,True,514,143,236,236,-0.00196,2,False,False,True,3.3
11,formalized,62,72,3.4309,3.8924,wav2vec2_ctc_forced_alignment,-0.10471,2,46,4,4,True,527,160,222,222,-0.00839,4,False,False,True,3.7
12,by,73,75,3.9526,4.0128,wav2vec2_ctc_forced_alignment,-0.10471,1,6,1,1,True,521,154,243,243,-0.00013,1,False,False,True,4.0
13,modern,76,82,4.093,4.3538,wav2vec2_ctc_forced_alignment,-0.10471,1,26,3,3,True,537,146,244,244,-0.00755,3,False,False,True,4.2
14,sociologists,83,95,4.394,4.9558,wav2vec2_ctc_forced_alignment,-0.10471,2,56,6,6,True,555,129,258,258,-0.19928,6,False,False,True,4.7
15,Michael,96,103,4.9758,5.1965,wav2vec2_ctc_forced_alignment,-0.10471,1,22,2,2,True,538,116,306,306,-0.01823,2,False,False,True,5.1
16,Omi,104,107,5.2968,5.4574,wav2vec2_ctc_forced_alignment,-0.10471,2,16,2,2,True,575,144,213,213,-0.70764,2,False,False,True,5.4
17,and,108,111,5.5777,5.6379,wav2vec2_ctc_forced_alignment,-0.10471,1,6,1,1,True,548,130,254,254,-0.00109,1,False,False,True,5.6
18,Howard,112,118,5.6781,5.8988,wav2vec2_ctc_forced_alignment,-0.10471,1,22,2,2,True,533,132,253,253,-0.00465,2,False,False,True,5.8
19,Winant,119,125,5.9389,6.4004,wav2vec2_ctc_forced_alignment,-0.10471,2,47,5,5,True,534,61,219,261,-0.84115,5,True,False,True,6.2
