word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,It,0,2,0.1204,0.1605,wav2vec2_ctc_forced_alignment,-0.03611,1,4,0,0,True,269,89,94,113,-0.00184,0,True,True,True,0.1
1,just,3,7,1.0631,1.3239,wav2vec2_ctc_forced_alignment,-0.03611,1,26,3,3,True,277,95,92,112,-0.22317,3,True,False,True,1.2
2,needs,8,13,1.4443,1.6449,wav2vec2_ctc_forced_alignment,-0.03611,1,20,2,2,True,273,93,92,109,-0.00161,2,True,False,True,1.5
3,to,14,16,1.7251,1.7853,wav2vec2_ctc_forced_alignment,-0.03611,1,6,0,0,True,271,93,92,109,-0.00024,0,True,True,True,1.8
4,be,17,19,1.8454,1.9257,wav2vec2_ctc_forced_alignment,-0.03611,1,8,1,1,True,271,92,93,111,-0.00012,1,True,False,True,1.9
5,a,20,21,2.026,2.046,wav2vec2_ctc_forced_alignment,-0.03611,1,2,0,0,True,271,92,93,110,-0.00375,0,True,True,True,2.0
6,simple,22,28,2.2266,2.5676,wav2vec2_ctc_forced_alignment,-0.03611,1,34,3,3,True,274,91,91,111,-0.06435,3,True,False,True,2.4
7,statement,29,38,2.6679,3.2095,wav2vec2_ctc_forced_alignment,-0.03611,1,54,6,6,True,273,90,92,116,-0.02271,6,True,False,True,2.9
8,and,40,43,3.5906,3.6508,wav2vec2_ctc_forced_alignment,-0.03611,1,6,1,1,True,271,96,91,117,-0.00064,1,True,False,True,3.6
9,then,44,48,3.6909,3.7912,wav2vec2_ctc_forced_alignment,-0.03611,1,10,1,1,True,270,98,93,118,-0.0018,1,True,False,True,3.7
10,you,49,52,3.8313,3.9115,wav2vec2_ctc_forced_alignment,-0.03611,1,8,1,1,True,272,98,92,117,-0.00191,1,True,False,True,3.9
11,present,53,60,3.9918,4.3528,wav2vec2_ctc_forced_alignment,-0.03611,1,36,4,4,True,264,98,93,116,-0.00153,4,True,False,True,4.2
12,the,61,64,4.413,4.4933,wav2vec2_ctc_forced_alignment,-0.03611,1,8,0,0,True,261,100,91,114,-0.00267,0,True,True,True,4.5
13,gift,65,69,4.5334,4.8343,wav2vec2_ctc_forced_alignment,-0.03611,1,30,3,3,True,259,102,90,110,-0.11077,3,True,False,True,4.7
