sample_id,coalition_bitmask,class_margin,intensity,target_probability,target_class,contrast_class
01,0,-1.089895473409628,0.16583210229873657,0.15876829043619456,Neutral,Positive
01,1,-0.365617457527873,0.3596879243850708,0.3601199982071221,Neutral,Positive
01,2,-0.008595640757302236,0.2513723075389862,0.41614474797413004,Neutral,Positive
01,3,-0.01240558099082012,0.2803252041339874,0.4286999310941969,Neutral,Positive
01,4,-0.21004188826657721,0.221906840801239,0.3308096837803053,Neutral,Positive
01,5,-0.07465976449485634,0.33597490191459656,0.40835322450977407,Neutral,Positive
01,6,0.08146767865001747,0.21409523487091064,0.4064123861213484,Neutral,Positive
01,7,0.17764550529565892,0.2799021601676941,0.4540177260027141,Neutral,Positive
02,0,0.2463803078319281,0.16583210229873657,0.4721710527798015,Positive,Negative
02,1,2.1652812269703205,1.1112982034683228,0.7874846480163848,Positive,Negative
02,2,0.5810399283762153,0.24253255128860474,0.412904748845671,Positive,Negative
02,3,1.33691359954756,0.5799366235733032,0.5908146307431889,Positive,Negative
02,4,-0.6803128571967042,-0.24525514245033264,0.2977898586287754,Positive,Negative
02,5,0.8212009776147308,0.5294235944747925,0.5761654529516262,Positive,Negative
02,6,-0.18566589873053108,0.03167887032032013,0.3520839510648795,Positive,Negative
02,7,0.37639985995935044,0.3357832431793213,0.43910234933522035,Positive,Negative
03,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
03,1,2.8549030834764975,-1.3863083124160767,0.8873259490138957,Negative,Positive
03,2,-1.2947972687858078,0.5022870898246765,0.1571565927890178,Negative,Positive
03,3,1.789839956229745,-0.4722987413406372,0.7425100095406315,Negative,Positive
03,4,-0.47214146285185243,0.35789862275123596,0.2813139476953957,Negative,Positive
03,5,2.525994530057951,-0.9396650791168213,0.873977816134636,Negative,Positive
03,6,-0.6575918576114499,0.35010766983032227,0.24311349338889746,Negative,Positive
03,7,2.0382319983665327,-0.5780235528945923,0.8127595965732458,Negative,Positive
04,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
