cohort,model,subset,rate,position,replicate,samples,Macro_F1,MAE,Accuracy
full_valid_1871,old_distilled_3seed,none,0.0,random,0,1871,0.6189264216431297,0.5703353881835938,0.6445750935328701
full_valid_1871,old_distilled_3seed,T,0.3,random,0,1871,0.5789491602011774,0.6203323602676392,0.6034206306787814
full_valid_1871,old_distilled_3seed,A,0.3,random,0,1871,0.6203913996184528,0.5711031556129456,0.6483164083377873
full_valid_1871,old_distilled_3seed,V,0.3,random,0,1871,0.6203667727270116,0.5698407292366028,0.6429716729021914
full_valid_1871,old_distilled_3seed,AV,0.3,random,0,1871,0.6198911174491162,0.5718947052955627,0.6424371993586317
full_valid_1871,old_distilled_3seed,TAV,0.3,random,0,1871,0.5809883405850836,0.6175827383995056,0.6060929983965794
full_valid_1871,old_distilled_3seed,TAV,0.1,scattered,0,1871,0.6124322101354686,0.5804629921913147,0.6386958845537146
full_valid_1871,old_distilled_3seed,TAV,0.1,scattered,1,1871,0.616901341092608,0.5841949582099915,0.6397648316408338
full_valid_1871,old_distilled_3seed,TAV,0.2,scattered,0,1871,0.5888441519989777,0.5981468558311462,0.6146445750935329
full_valid_1871,old_distilled_3seed,TAV,0.2,scattered,1,1871,0.6014952601821452,0.5949009656906128,0.6258685195082844
full_valid_1871,old_distilled_3seed,TAV,0.3,scattered,0,1871,0.5799757789240506,0.6169228553771973,0.6007482629609834
full_valid_1871,old_distilled_3seed,TAV,0.3,scattered,1,1871,0.5724676967561217,0.6129434704780579,0.5970069481560663
full_valid_1871,full_clean_teacher,none,0.0,random,0,1871,0.6318720212849573,0.5543813705444336,0.649919828968466
full_valid_1871,full_clean_teacher,T,0.3,random,0,1871,0.5627711388307858,0.6188275218009949,0.572421165152325
full_valid_1871,full_clean_teacher,A,0.3,random,0,1871,0.6288786875245392,0.5605757832527161,0.6488508818813469
full_valid_1871,full_clean_teacher,V,0.3,random,0,1871,0.6297997268098215,0.5517279505729675,0.6477819347942276
