model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
full_student,none,0.0,random,0,0.6729021913415286,0.6305285852859462,0.6670979428570253,0.5424532294273376,0.7119197675585246,0.0,0.0020962958007180927,0.04504805869628242
full_student,T,0.3,random,0,0.6264029930518439,0.5869613390802324,0.6243189738690174,0.5922483801841736,0.6274886982922765,0.29916817198545975,0.0020962958007180927,0.04504805869628242
full_student,A,0.3,random,0,0.6729021913415286,0.6353848452791526,0.6697910251485345,0.5401290059089661,0.7120649770212303,0.0,0.300573136192324,0.04504805869628242
full_student,V,0.3,random,0,0.6755745590593266,0.6320144662828703,0.669625330597847,0.5395309329032898,0.7131471729365458,0.0,0.0020962958007180927,0.3313708436475547
full_student,AV,0.3,random,0,0.6766435061464458,0.6402649966202091,0.6747802456622338,0.5362906455993652,0.7149918158485981,0.0,0.300573136192324,0.3313708436475547
full_student,TAV,0.3,random,0,0.6333511491181186,0.593395639207809,0.6308993514558932,0.5902218818664551,0.6312904433377317,0.29916817198545975,0.300573136192324,0.3313708436475547
full_student,TAV,0.1,scattered,0,0.6563335114911811,0.6173381860422301,0.6522228172722265,0.5558651685714722,0.6906752432631132,0.10229477487121161,0.1041234584420508,0.142458910372204
full_student,TAV,0.1,scattered,1,0.6515232495991449,0.6117186575638748,0.6486684238785514,0.5595916509628296,0.6870956360812847,0.10229477487121161,0.10427956557614683,0.14252581342967374
full_student,TAV,0.2,scattered,0,0.6285408872260823,0.5910632823515686,0.6269371792232946,0.5759310722351074,0.6698924614319351,0.20144510604134608,0.20300617738230636,0.23719363974933655
full_student,TAV,0.2,scattered,1,0.6445750935328701,0.6061264673504485,0.6421547176849031,0.5752477049827576,0.6550871838701311,0.20144510604134608,0.20302847840146296,0.2375058540175286
full_student,TAV,0.3,scattered,0,0.6290753607696419,0.5909175508408504,0.6275116615283106,0.5877983570098877,0.6411128043291335,0.29916817198545975,0.30068464128810685,0.3303895988046654
full_student,TAV,0.3,scattered,1,0.6392303580972741,0.604260206617592,0.6376721504953641,0.5858356952667236,0.6410895664454693,0.29916817198545975,0.300573136192324,0.32967596619165496
