model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
full_teacher,none,0.0,random,0,0.6304945054945055,0.6227946142048116,0.6361666201159494,0.561410665512085,0.678849068900254
full_teacher,T,0.3,random,0,0.5590659340659341,0.5551497316673527,0.5689917131272688,0.6192359924316406,0.591300085625869
full_teacher,A,0.3,random,0,0.6222527472527473,0.613592750867549,0.6274479920576421,0.5719162821769714,0.6739110197022605
full_teacher,V,0.3,random,0,0.6346153846153846,0.626916208635751,0.6419885087076429,0.5592204332351685,0.6798308005301552
full_teacher,AV,0.3,random,0,0.6291208791208791,0.6208308643529222,0.6350547083455177,0.5810518860816956,0.6691511530000273
full_teacher,TAV,0.3,random,0,0.5782967032967034,0.5679941512990335,0.5833702012492922,0.6142026782035828,0.5952956220767737
full_teacher,TAV,0.1,scattered,0,0.6346153846153846,0.6259807786350973,0.6389789705415058,0.5656251311302185,0.6754822476319359
full_teacher,TAV,0.1,scattered,1,0.6263736263736264,0.6178435679598583,0.6308086154243727,0.5753058791160583,0.6438428240270941
full_teacher,TAV,0.2,scattered,0,0.6071428571428571,0.5992126988290671,0.6122225122790734,0.584153413772583,0.6502452661386852
full_teacher,TAV,0.2,scattered,1,0.592032967032967,0.5827160220334068,0.5987626620420171,0.6048951745033264,0.6133462270007357
full_teacher,TAV,0.3,scattered,0,0.5782967032967034,0.5716264980503376,0.5855473649338885,0.6129552125930786,0.6125357500233763
full_teacher,TAV,0.3,scattered,1,0.5796703296703297,0.5731621828658175,0.5854027673835898,0.6173011064529419,0.6076471841291962
full_student,none,0.0,random,0,0.6607142857142857,0.6307522084251643,0.6541040807550241,0.5580141544342041,0.695233351760884
full_student,T,0.3,random,0,0.6236263736263736,0.5961388237919875,0.6199949475811545,0.5989206433296204,0.6216958542867815
full_student,A,0.3,random,0,0.6593406593406593,0.6340657281206048,0.6554330348034193,0.5579578280448914,0.6948718040149553
full_student,V,0.3,random,0,0.6648351648351648,0.6368988236912451,0.6597849457295231,0.5553874969482422,0.6982539540929221
full_student,AV,0.3,random,0,0.6689560439560439,0.6469837677902134,0.6672307332441456,0.5528740882873535,0.7000140840088259
full_student,TAV,0.3,random,0,0.6373626373626373,0.6094441165237319,0.6337082885171493,0.5980399250984192,0.6264089395227249
full_student,TAV,0.1,scattered,0,0.6387362637362637,0.6113674181288472,0.6340042723062316,0.5679677128791809,0.6850147236094802
full_student,TAV,0.1,scattered,1,0.6401098901098901,0.6144445086264955,0.6370508480431,0.5752524137496948,0.6666368898873802
full_student,TAV,0.2,scattered,0,0.6071428571428571,0.5840614413777324,0.6064129511336867,0.5759139657020569,0.6722670242711126
full_student,TAV,0.2,scattered,1,0.614010989010989,0.5869752955980406,0.6105160749233888,0.6020684838294983,0.6216385523691784
full_student,TAV,0.3,scattered,0,0.6291208791208791,0.6058065483142084,0.6279594734925382,0.5862544775009155,0.6442171868244092
full_student,TAV,0.3,scattered,1,0.6085164835164835,0.5863922761083683,0.6064735063549495,0.6047711968421936,0.6367533151389388
