sample_id,coalition_bitmask,class_margin,intensity,target_probability,target_class,contrast_class
-UacrmKiTn4$_$7,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
-UacrmKiTn4$_$7,1,1.7355147982965586,0.9985265731811523,0.7924172229846348,Positive,Neutral
-UacrmKiTn4$_$7,2,0.341991254214964,0.27887827157974243,0.48139405094817633,Positive,Neutral
-UacrmKiTn4$_$7,3,1.0803377592720416,0.6147891283035278,0.6769075732197409,Positive,Neutral
-UacrmKiTn4$_$7,4,-0.0920736013673713,0.28911060094833374,0.4020141356115326,Positive,Neutral
-UacrmKiTn4$_$7,5,0.9540727370938622,0.6009424924850464,0.6477330248268119,Positive,Neutral
-UacrmKiTn4$_$7,6,-0.10216373684392432,0.22277313470840454,0.38532826378337537,Positive,Neutral
-UacrmKiTn4$_$7,7,0.40581486257442956,0.424035906791687,0.5198279149317143,Positive,Neutral
-qDkUB0GgYY$_$5,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
-qDkUB0GgYY$_$5,1,0.171631414610122,0.3140086233615875,0.47091950034227076,Positive,Neutral
-qDkUB0GgYY$_$5,2,1.8605086705227403,1.0459558963775635,0.7613312554427081,Positive,Neutral
-qDkUB0GgYY$_$5,3,0.7145729693543565,0.45600634813308716,0.5918593666099986,Positive,Neutral
-qDkUB0GgYY$_$5,4,1.9033957003103934,1.0665373802185059,0.7284874829484884,Positive,Neutral
-qDkUB0GgYY$_$5,5,1.0367999987017362,0.581696093082428,0.6585743023453856,Positive,Neutral
-qDkUB0GgYY$_$5,6,1.8324379747361155,1.045135259628296,0.7266230659132038,Positive,Neutral
-qDkUB0GgYY$_$5,7,1.1019953233924764,0.6394205093383789,0.6650277252526966,Positive,Neutral
0utROiKxejc$_$1,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
0utROiKxejc$_$1,1,2.1479237292479803,1.3354337215423584,0.8383279331832194,Positive,Neutral
0utROiKxejc$_$1,2,0.3177179689795895,0.3436506390571594,0.4798584235503243,Positive,Neutral
0utROiKxejc$_$1,3,1.6798702455244607,0.961534857749939,0.7823898226748317,Positive,Neutral
0utROiKxejc$_$1,4,-0.19672015447842828,0.10422924160957336,0.27987528836888326,Positive,Neutral
0utROiKxejc$_$1,5,1.5100527072142576,0.8647248148918152,0.7301743474422769,Positive,Neutral
0utROiKxejc$_$1,6,-0.24949304810310502,0.13794009387493134,0.3106050058558143,Positive,Neutral
0utROiKxejc$_$1,7,0.8606270665747384,0.6033512353897095,0.6089625262182372,Positive,Neutral
0utROiKxejc$_$4,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
0utROiKxejc$_$4,1,2.910249081429765,-1.8140337467193604,0.9044331833177732,Negative,Positive
0utROiKxejc$_$4,2,-1.4755348197712348,0.500778079032898,0.14024418978483122,Negative,Positive
0utROiKxejc$_$4,3,2.6302275465860117,-1.278220534324646,0.895025076263528,Negative,Positive
0utROiKxejc$_$4,4,0.016636438067590964,0.19410473108291626,0.3245729092270571,Negative,Positive
0utROiKxejc$_$4,5,3.0424773134011964,-1.6335091590881348,0.9223709332015294,Negative,Positive
0utROiKxejc$_$4,6,-0.5654111105090249,0.2937692403793335,0.23649940220512525,Negative,Positive
0utROiKxejc$_$4,7,2.93172622453245,-1.426990270614624,0.9205255091073148,Negative,Positive
0y022OlZ3W0$_$3,0,1.089895473409628,0.16583210229873657,0.4721710527798015,Positive,Neutral
0y022OlZ3W0$_$3,1,2.2612638625851447,1.3605139255523682,0.8365828517590665,Positive,Neutral
0y022OlZ3W0$_$3,2,1.535703905919546,0.8534673452377319,0.7198551170811586,Positive,Neutral
0y022OlZ3W0$_$3,3,2.172976614576426,1.256779670715332,0.8376349294181942,Positive,Neutral
0y022OlZ3W0$_$3,4,0.6591835988137608,0.29946625232696533,0.49106139440307683,Positive,Neutral
0y022OlZ3W0$_$3,5,1.9487231097090698,0.9823653697967529,0.7890366580140239,Positive,Neutral
0y022OlZ3W0$_$3,6,0.8679280362835544,0.4250725507736206,0.5549628540313999,Positive,Neutral
0y022OlZ3W0$_$3,7,1.6659628786933438,0.8998286724090576,0.7531713806085543,Positive,Neutral
0y022OlZ3W0$_$5,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
0y022OlZ3W0$_$5,1,3.0525577622275732,-1.767277717590332,0.9120668257788688,Negative,Positive
0y022OlZ3W0$_$5,2,-1.8940360247257981,0.8266248106956482,0.11062246761486369,Negative,Positive
0y022OlZ3W0$_$5,3,2.0481722781607323,-0.6347357034683228,0.8250738315411282,Negative,Positive
0y022OlZ3W0$_$5,4,-0.4555917756636412,0.27245861291885376,0.2785440632726561,Negative,Positive
0y022OlZ3W0$_$5,5,2.901301387515903,-1.3719055652618408,0.9114316341684978,Negative,Positive
0y022OlZ3W0$_$5,6,-0.9365463086731693,0.4035228490829468,0.2101043195319482,Negative,Positive
0y022OlZ3W0$_$5,7,2.321219916560822,-0.8034102916717529,0.8636129707381367,Negative,Positive
0y022OlZ3W0$_$8,0,-1.089895473409628,0.16583210229873657,0.15876829043619456,Neutral,Positive
0y022OlZ3W0$_$8,1,-0.09934688122371749,0.30633997917175293,0.4145005359785591,Neutral,Positive
0y022OlZ3W0$_$8,2,-0.8189356037222988,0.508496105670929,0.259028594940803,Neutral,Positive
0y022OlZ3W0$_$8,3,-0.0811311453186665,0.28056323528289795,0.4159859643464403,Neutral,Positive
0y022OlZ3W0$_$8,4,-1.1591820687338639,0.37432432174682617,0.16189711108738478,Neutral,Positive
0y022OlZ3W0$_$8,5,-0.03875612193431344,0.3164421617984772,0.4030614339532085,Neutral,Positive
0y022OlZ3W0$_$8,6,-0.7161660950399409,0.3817681670188904,0.24644877869637377,Neutral,Positive
0y022OlZ3W0$_$8,7,0.09503396180595347,0.2739391326904297,0.42733549993706105,Neutral,Positive
101787$_$11,0,-0.8435151655776999,0.16583210229873657,0.15876829043619456,Neutral,Negative
101787$_$11,1,0.8771283486564219,0.0449538379907608,0.558579610440454,Neutral,Negative
101787$_$11,2,0.8306192150462147,0.1534450650215149,0.4209610239508206,Neutral,Negative
101787$_$11,3,0.9640591714170281,0.04863619804382324,0.5607600539967368,Neutral,Negative
101787$_$11,4,-1.0518048406284093,-0.050891514867544174,0.17994826005093906,Neutral,Negative
101787$_$11,5,0.11241277667204663,-0.0012813210487365723,0.4070893615233211,Neutral,Negative
101787$_$11,6,-0.0023242479284959483,0.0969192385673523,0.3314560030276974,Neutral,Negative
101787$_$11,7,0.33959697491406504,0.046372294425964355,0.4523684659585951,Neutral,Negative
101787$_$13,0,-0.2463803078319281,0.16583210229873657,0.3690606567840039,Negative,Positive
101787$_$13,1,-0.3933710353663086,0.40113258361816406,0.3458379372187186,Negative,Positive
101787$_$13,2,-0.9351033230968154,0.20587584376335144,0.159146171523633,Negative,Positive
101787$_$13,3,-0.7650710120869237,0.3650529682636261,0.20752709215316845,Negative,Positive
