word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,An,0,2,0.0,0.1751,wav2vec2_ctc_forced_alignment,-0.09559,1,19,1,1,True,104,18,125,125,0.0
1,estimated,3,12,0.1751,0.963,wav2vec2_ctc_forced_alignment,-0.09559,1,79,3,3,True,95,8,133,133,0.5
2,20,13,15,0.963,1.0505,wav2vec2_ctc_forced_alignment,-0.09559,1,10,1,1,True,95,12,129,129,1.0
3,000,16,19,1.0505,1.1381,wav2vec2_ctc_forced_alignment,-0.09559,1,10,1,1,True,95,12,129,129,1.0
4,biotech,20,27,1.1381,1.7509,wav2vec2_ctc_forced_alignment,-0.09559,2,62,3,3,True,99,15,125,125,1.5
5,scientists,28,38,1.7509,2.6263,wav2vec2_ctc_forced_alignment,-0.09559,1,89,2,2,True,103,18,122,122,2.0
6,executives,40,50,2.6263,3.5017,wav2vec2_ctc_forced_alignment,-0.09559,1,88,3,3,True,96,13,130,130,3.0
7,and,51,54,3.5017,3.7644,wav2vec2_ctc_forced_alignment,-0.09559,1,27,2,2,True,98,16,124,124,3.5
8,industry,55,63,3.7644,4.4647,wav2vec2_ctc_forced_alignment,-0.09559,1,71,2,2,True,109,20,121,121,4.0
9,experts,64,71,4.4647,5.0775,wav2vec2_ctc_forced_alignment,-0.09559,1,63,2,2,True,124,28,107,107,5.0
10,from,72,76,5.0775,5.4277,wav2vec2_ctc_forced_alignment,-0.09559,1,36,2,2,True,115,23,114,114,5.5
11,more,77,81,5.4277,5.7778,wav2vec2_ctc_forced_alignment,-0.09559,1,36,2,2,True,115,23,114,114,5.5
12,than,82,86,5.7778,6.128,wav2vec2_ctc_forced_alignment,-0.09559,1,36,1,1,True,109,21,118,118,6.0
13,50,87,89,6.128,6.2156,wav2vec2_ctc_forced_alignment,-0.09559,1,10,1,1,True,109,21,118,118,6.0
14,nations,90,97,6.2156,6.8284,wav2vec2_ctc_forced_alignment,-0.09559,1,62,3,3,True,95,2,132,132,6.5
15,were,98,102,6.8284,7.1785,wav2vec2_ctc_forced_alignment,-0.09559,1,36,1,1,True,96,10,125,125,7.0
16,at,103,105,7.1785,7.3536,wav2vec2_ctc_forced_alignment,-0.09559,1,18,2,2,True,98,18,122,122,7.5
17,the,106,109,7.3536,7.6162,wav2vec2_ctc_forced_alignment,-0.09559,1,28,1,1,True,98,18,122,122,7.5
18,BIO,110,113,7.6162,7.8789,wav2vec2_ctc_forced_alignment,-0.09559,1,27,2,2,True,98,18,122,122,7.5
19,conference,114,124,7.8789,8.7543,wav2vec2_ctc_forced_alignment,-0.09559,1,88,3,3,True,118,21,117,117,8.5
20,to,125,127,8.7543,8.9294,wav2vec2_ctc_forced_alignment,-0.09559,1,19,1,1,True,112,15,124,124,9.0
21,learn,128,133,8.9294,9.3671,wav2vec2_ctc_forced_alignment,-0.09559,1,45,2,2,True,112,15,124,124,9.0
22,about,134,139,9.3671,9.8048,wav2vec2_ctc_forced_alignment,-0.09559,1,44,2,2,True,116,19,117,117,9.5
23,the,140,143,9.8048,10.0675,wav2vec2_ctc_forced_alignment,-0.09559,1,28,1,1,True,118,19,118,118,10.0
24,latest,144,150,10.0675,10.5927,wav2vec2_ctc_forced_alignment,-0.09559,1,53,2,2,True,112,19,124,124,10.5
25,scientific,151,161,10.5927,11.4681,wav2vec2_ctc_forced_alignment,-0.09559,1,89,3,3,True,103,15,126,126,11.0
26,advances,162,170,11.4681,12.1685,wav2vec2_ctc_forced_alignment,-0.09559,1,71,2,2,True,96,22,124,124,12.0
27,and,172,175,12.1685,12.4311,wav2vec2_ctc_forced_alignment,-0.09559,1,27,2,2,True,101,18,130,130,12.5
28,to,176,178,12.4311,12.6062,wav2vec2_ctc_forced_alignment,-0.09559,1,19,1,1,True,101,18,130,130,12.5
29,exchange,179,187,12.6062,13.3066,wav2vec2_ctc_forced_alignment,-0.09559,1,71,3,3,True,99,16,129,129,13.0
30,ideas,188,193,13.3066,13.7443,wav2vec2_ctc_forced_alignment,-0.09559,1,44,1,1,True,90,11,132,132,13.5
31,and,194,197,13.7443,14.0069,wav2vec2_ctc_forced_alignment,-0.09559,1,28,2,2,True,93,13,131,131,14.0
32,establish,198,207,14.0069,14.7948,wav2vec2_ctc_forced_alignment,-0.09559,1,79,3,3,True,92,6,132,132,14.5
33,business,208,216,14.7948,15.4951,wav2vec2_ctc_forced_alignment,-0.09559,1,72,2,2,True,94,16,129,129,15.0
34,relationships,217,230,15.4951,16.6332,wav2vec2_ctc_forced_alignment,-0.09559,1,114,3,3,True,110,24,121,121,16.0
