word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Make,0,4,0.5017,0.6422,wav2vec2_ctc_forced_alignment,-0.14715,1,15,1,1,True,216,22,96,96,0.5
1,sure,5,9,0.7024,0.863,wav2vec2_ctc_forced_alignment,-0.14715,1,17,2,2,True,212,22,100,100,1.0
2,that,10,14,0.9031,1.0035,wav2vec2_ctc_forced_alignment,-0.14715,1,11,1,1,True,212,22,100,100,1.0
3,your,15,19,1.0436,1.1841,wav2vec2_ctc_forced_alignment,-0.14715,1,15,1,1,True,212,22,100,100,1.0
4,using,20,25,1.3045,1.5052,wav2vec2_ctc_forced_alignment,-0.14715,1,22,1,1,True,207,23,96,96,1.5
5,comps,26,31,1.5654,1.8865,wav2vec2_ctc_forced_alignment,-0.14715,2,33,2,2,True,207,23,96,96,1.5
6,that,32,36,1.9266,2.027,wav2vec2_ctc_forced_alignment,-0.14715,1,11,1,1,True,213,112,118,118,2.0
7,are,37,40,2.1073,2.1875,wav2vec2_ctc_forced_alignment,-0.14715,1,9,1,1,True,213,112,118,118,2.0
8,not,41,44,2.2076,2.328,wav2vec2_ctc_forced_alignment,-0.14715,1,13,2,2,True,207,36,93,93,2.5
9,larger,45,51,2.4083,2.7896,wav2vec2_ctc_forced_alignment,-0.14715,1,39,2,2,True,207,36,93,93,2.5
10,no,53,55,3.2312,3.3315,wav2vec2_ctc_forced_alignment,-0.14715,1,11,2,2,True,215,19,100,100,3.5
11,larger,56,62,3.3917,3.6927,wav2vec2_ctc_forced_alignment,-0.14715,1,31,1,1,True,215,19,100,100,3.5
12,than,63,67,3.753,3.8533,wav2vec2_ctc_forced_alignment,-0.14715,1,11,1,1,True,214,21,96,96,4.0
13,twelve,68,74,3.9536,4.1744,wav2vec2_ctc_forced_alignment,-0.14715,1,23,1,1,True,214,21,96,96,4.0
14,hundred,75,82,4.1945,4.3952,wav2vec2_ctc_forced_alignment,-0.14715,1,22,2,2,True,212,21,96,96,4.5
15,square,83,89,4.4353,4.636,wav2vec2_ctc_forced_alignment,-0.14715,1,21,1,1,True,212,21,96,96,4.5
16,feet,90,94,4.6761,4.8367,wav2vec2_ctc_forced_alignment,-0.14715,1,17,2,2,True,210,20,99,99,5.0
