word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Yesterday,0,9,0.0,0.9172,proportional_fallback_low_ctc_confidence,-3.97446,1,93,3,3,True,524,63,343,343,0.5
1,Eliav,10,15,0.9172,1.4267,proportional_fallback_low_ctc_confidence,-3.97446,2,52,2,2,True,530,67,333,333,1.0
2,Gelman,16,22,1.4267,2.0382,proportional_fallback_low_ctc_confidence,-3.97446,2,62,2,2,True,542,72,326,326,1.5
3,lost,23,27,2.0382,2.4459,proportional_fallback_low_ctc_confidence,-3.97446,1,42,2,2,True,535,83,320,320,2.0
4,his,28,31,2.4459,2.7516,proportional_fallback_low_ctc_confidence,-3.97446,1,31,2,2,True,526,95,329,329,2.5
5,life,32,36,2.7516,3.1592,proportional_fallback_low_ctc_confidence,-3.97446,1,42,1,1,True,505,75,337,337,3.0
6,in,37,39,3.1592,3.3631,proportional_fallback_low_ctc_confidence,-3.97446,1,21,2,2,True,498,70,357,357,3.5
7,another,40,47,3.3631,4.0764,proportional_fallback_low_ctc_confidence,-3.97446,1,73,2,2,True,498,70,357,357,3.5
8,terrorist,48,57,4.0764,4.9936,proportional_fallback_low_ctc_confidence,-3.97446,1,92,3,3,True,519,70,329,329,4.5
9,attack,58,64,4.9936,5.6051,proportional_fallback_low_ctc_confidence,-3.97446,1,63,2,2,True,487,70,334,334,5.5
10,not,66,69,5.6051,5.9108,proportional_fallback_low_ctc_confidence,-3.97446,1,31,2,2,True,489,72,343,343,6.0
11,by,70,72,5.9108,6.1146,proportional_fallback_low_ctc_confidence,-3.97446,1,21,1,1,True,489,72,343,343,6.0
12,the,73,76,6.1146,6.4204,proportional_fallback_low_ctc_confidence,-3.97446,1,32,2,2,True,479,95,336,336,6.5
13,students,77,85,6.4204,7.2357,proportional_fallback_low_ctc_confidence,-3.97446,1,83,2,2,True,539,83,322,322,7.0
14,of,86,88,7.2357,7.4395,proportional_fallback_low_ctc_confidence,-3.97446,1,21,2,2,True,520,76,330,330,7.5
15,terrorism,89,98,7.4395,8.3567,proportional_fallback_low_ctc_confidence,-3.97446,1,93,3,3,True,482,49,336,336,8.0
16,but,100,103,8.3567,8.6624,proportional_fallback_low_ctc_confidence,-3.97446,1,31,1,1,True,484,52,344,344,8.5
17,by,104,106,8.6624,8.8662,proportional_fallback_low_ctc_confidence,-3.97446,1,22,2,2,True,504,62,340,340,9.0
18,those,107,112,8.8662,9.3758,proportional_fallback_low_ctc_confidence,-3.97446,1,52,2,2,True,504,62,340,340,9.0
19,who,113,116,9.3758,9.6815,proportional_fallback_low_ctc_confidence,-3.97446,1,31,1,1,True,473,42,337,337,9.5
20,teach,117,122,9.6815,10.1911,proportional_fallback_low_ctc_confidence,-3.97446,1,52,2,2,True,466,57,351,351,10.0
21,terrorism,123,132,10.1911,11.1083,proportional_fallback_low_ctc_confidence,-3.97446,1,93,3,3,True,466,56,351,351,10.5
22,a,134,135,11.1083,11.2102,proportional_fallback_low_ctc_confidence,-3.97446,1,11,1,1,True,486,58,343,343,11.0
23,Palestinian,136,147,11.2102,12.3312,proportional_fallback_low_ctc_confidence,-3.97446,1,113,4,4,True,477,44,356,356,12.0
24,teacher,148,155,12.3312,13.0446,proportional_fallback_low_ctc_confidence,-3.97446,1,72,2,2,True,489,60,340,340,12.5
