word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,And,1,4,0.4804,0.5604,wav2vec2_ctc_forced_alignment,-0.09346,1,9,1,1,True,457,139,137,137,0.5
1,all,5,8,0.6605,0.7806,wav2vec2_ctc_forced_alignment,-0.09346,1,13,2,2,True,457,139,137,137,0.5
2,of,9,11,0.8406,0.8806,wav2vec2_ctc_forced_alignment,-0.09346,1,5,1,1,True,456,138,138,138,1.0
3,them,12,16,0.9407,1.0608,wav2vec2_ctc_forced_alignment,-0.09346,1,13,1,1,True,456,138,138,138,1.0
4,are,17,20,1.2009,1.2809,wav2vec2_ctc_forced_alignment,-0.09346,1,9,2,2,True,456,138,138,138,1.0
5,really,21,27,1.381,1.6212,wav2vec2_ctc_forced_alignment,-0.09346,1,25,1,1,True,454,137,140,140,1.5
6,being,28,33,1.6812,1.8614,wav2vec2_ctc_forced_alignment,-0.09346,1,19,2,2,True,456,138,137,137,2.0
7,able,34,38,2.5619,2.722,wav2vec2_ctc_forced_alignment,-0.09346,1,17,1,1,True,668,427,152,152,2.5
8,to,39,41,2.782,2.8621,wav2vec2_ctc_forced_alignment,-0.09346,1,9,1,1,True,454,136,138,138,3.0
9,explore,42,49,2.9421,3.5426,wav2vec2_ctc_forced_alignment,-0.09346,1,61,2,2,True,454,136,138,138,3.0
10,these,51,56,4.063,4.2031,wav2vec2_ctc_forced_alignment,-0.09346,1,15,1,1,True,454,135,138,138,4.0
11,different,57,66,4.5233,4.8035,wav2vec2_ctc_forced_alignment,-0.09346,1,29,2,2,True,483,280,122,122,4.5
12,areas,67,72,4.8836,5.1838,wav2vec2_ctc_forced_alignment,-0.09346,1,31,1,1,True,483,280,122,122,5.0
13,in,73,75,5.8443,5.8843,wav2vec2_ctc_forced_alignment,-0.09346,1,5,1,1,True,481,279,124,124,6.0
14,depth,76,81,6.0444,6.3446,wav2vec2_ctc_forced_alignment,-0.09346,1,31,2,2,True,481,279,124,124,6.0
15,in,83,85,6.5648,6.6048,wav2vec2_ctc_forced_alignment,-0.09346,1,5,1,1,True,361,388,144,144,6.5
16,a,86,87,6.6849,6.7049,wav2vec2_ctc_forced_alignment,-0.09346,1,3,1,1,True,361,388,144,144,6.5
17,way,88,91,6.7649,6.905,wav2vec2_ctc_forced_alignment,-0.09346,1,16,1,1,True,480,279,123,123,7.0
18,that,92,96,7.0251,7.1652,wav2vec2_ctc_forced_alignment,-0.09346,1,15,1,1,True,480,279,123,123,7.0
19,really,97,103,7.3254,7.5255,wav2vec2_ctc_forced_alignment,-0.09346,1,21,1,1,True,480,279,124,124,7.5
20,wasn't,104,110,7.5655,7.8057,wav2vec2_ctc_forced_alignment,-0.09346,3,25,2,2,True,480,279,124,124,7.5
21,available,111,120,7.8457,8.2861,wav2vec2_ctc_forced_alignment,-0.09346,1,45,2,2,True,480,278,125,125,8.0
22,before,122,128,8.3661,8.6663,wav2vec2_ctc_forced_alignment,-0.09346,1,31,1,1,True,978,363,129,129,8.5
23,the,129,132,8.7464,8.8064,wav2vec2_ctc_forced_alignment,-0.09346,1,7,2,2,True,980,365,125,125,9.0
24,center,133,139,8.8665,9.1467,wav2vec2_ctc_forced_alignment,-0.09346,1,29,1,1,True,980,365,125,125,9.0
25,was,140,143,9.2468,9.3268,wav2vec2_ctc_forced_alignment,-0.09346,1,9,2,2,True,353,391,146,146,9.5
26,here,144,148,9.9273,10.1474,wav2vec2_ctc_forced_alignment,-0.09346,1,23,1,1,True,439,24,272,272,10.0
