word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,If,0,2,0.6008,0.6409,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,145,94,93,93,0.5
1,the,3,6,0.741,0.8011,wav2vec2_ctc_forced_alignment,-0.11643,1,7,2,2,True,114,71,96,96,1.0
2,product,7,14,0.8612,1.2417,wav2vec2_ctc_forced_alignment,-0.11643,1,39,1,1,True,114,71,96,96,1.0
3,or,15,17,1.5822,1.6222,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,99,68,100,100,1.5
4,poison,18,24,1.7224,2.1029,wav2vec2_ctc_forced_alignment,-0.11643,1,39,2,2,True,87,64,100,100,2.0
5,is,25,27,2.203,2.2431,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,87,64,100,100,2.0
6,some,28,32,2.2832,2.4434,wav2vec2_ctc_forced_alignment,-0.11643,1,17,1,1,True,62,59,110,110,2.5
7,type,33,37,2.4634,2.6837,wav2vec2_ctc_forced_alignment,-0.11643,1,23,1,1,True,62,59,110,110,2.5
8,of,38,40,2.7438,2.7838,wav2vec2_ctc_forced_alignment,-0.11643,1,5,2,2,True,65,61,109,109,3.0
9,petroleum,41,50,2.884,3.3647,wav2vec2_ctc_forced_alignment,-0.11643,1,49,2,2,True,65,61,109,109,3.0
10,product,51,58,3.4448,3.7852,wav2vec2_ctc_forced_alignment,-0.11643,1,36,2,2,True,90,57,115,115,3.5
11,or,59,61,4.2258,4.2859,wav2vec2_ctc_forced_alignment,-0.11643,1,7,2,2,True,140,48,129,129,4.5
12,corrosive,62,71,4.366,4.8066,wav2vec2_ctc_forced_alignment,-0.11643,3,45,2,2,True,140,48,129,129,4.5
13,product,72,79,4.8667,5.2272,wav2vec2_ctc_forced_alignment,-0.11643,1,37,1,1,True,138,57,124,124,5.0
14,you,81,84,5.808,5.8881,wav2vec2_ctc_forced_alignment,-0.11643,1,9,1,1,True,92,61,117,117,6.0
15,would,85,90,5.9282,6.0884,wav2vec2_ctc_forced_alignment,-0.11643,1,17,1,1,True,92,61,117,117,6.0
16,not,91,94,6.1285,6.2887,wav2vec2_ctc_forced_alignment,-0.11643,1,17,2,2,True,92,61,117,117,6.0
17,attempt,95,102,6.4689,6.7894,wav2vec2_ctc_forced_alignment,-0.11643,1,33,2,2,True,90,54,116,116,6.5
18,to,103,105,7.1899,7.2901,wav2vec2_ctc_forced_alignment,-0.11643,1,11,2,2,True,96,60,118,118,7.0
19,induce,106,112,7.6305,7.931,wav2vec2_ctc_forced_alignment,-0.11643,1,31,2,2,True,132,52,132,132,8.0
20,vomiting,113,121,8.0111,8.3916,wav2vec2_ctc_forced_alignment,-0.11643,1,39,2,2,True,132,52,132,132,8.0
21,and,122,125,8.6119,8.692,wav2vec2_ctc_forced_alignment,-0.11643,1,9,1,1,True,140,53,132,132,8.5
22,nausea,126,132,8.7321,9.0926,wav2vec2_ctc_forced_alignment,-0.11643,1,37,2,2,True,130,49,125,125,9.0
23,as,134,136,9.6533,9.7134,wav2vec2_ctc_forced_alignment,-0.11643,1,7,1,1,True,110,51,122,122,9.5
24,as,137,139,9.7735,9.8136,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,101,57,117,117,10.0
25,the,140,143,9.8937,9.9538,wav2vec2_ctc_forced_alignment,-0.11643,1,7,1,1,True,101,57,117,117,10.0
26,product,144,151,9.9938,10.3143,wav2vec2_ctc_forced_alignment,-0.11643,1,33,2,2,True,101,57,117,117,10.0
27,burned,152,158,10.4344,10.6948,wav2vec2_ctc_forced_alignment,-0.11643,1,27,1,1,True,106,58,111,111,10.5
28,on,159,161,10.7749,10.8149,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,104,54,115,115,11.0
29,the,162,165,10.875,10.9351,wav2vec2_ctc_forced_alignment,-0.11643,1,7,1,1,True,104,54,115,115,11.0
30,way,166,169,10.9752,11.0953,wav2vec2_ctc_forced_alignment,-0.11643,1,13,1,1,True,104,54,115,115,11.0
31,down,170,174,11.1554,11.3958,wav2vec2_ctc_forced_alignment,-0.11643,1,25,2,2,True,111,53,110,110,11.5
32,it,175,177,11.8163,11.8564,wav2vec2_ctc_forced_alignment,-0.11643,1,5,1,1,True,106,58,114,114,12.0
33,could,178,183,11.8964,12.0366,wav2vec2_ctc_forced_alignment,-0.11643,1,15,1,1,True,106,58,114,114,12.0
34,cause,184,189,12.0567,12.297,wav2vec2_ctc_forced_alignment,-0.11643,1,25,2,2,True,106,58,114,114,12.0
35,damage,190,196,12.3571,12.7176,wav2vec2_ctc_forced_alignment,-0.11643,1,37,1,1,True,113,58,111,111,12.5
