word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,So,0,2,0.5817,0.7221,wav2vec2_ctc_forced_alignment,-0.23199,1,15,1,1,True,646,90,303,303,0.5
1,get,3,6,1.3439,1.4643,wav2vec2_ctc_forced_alignment,-0.23199,1,13,1,1,True,711,76,314,314,1.5
2,your,7,11,1.5245,1.6248,wav2vec2_ctc_forced_alignment,-0.23199,1,11,1,1,True,711,76,314,314,1.5
3,friends,12,19,1.6448,1.8655,wav2vec2_ctc_forced_alignment,-0.23199,1,24,2,2,True,667,86,318,318,2.0
4,lined,20,25,1.9256,2.1463,wav2vec2_ctc_forced_alignment,-0.23199,1,23,1,1,True,667,86,318,318,2.0
5,up,26,28,2.2466,2.3068,wav2vec2_ctc_forced_alignment,-0.23199,1,7,2,2,True,649,96,315,315,2.5
6,get,30,33,2.4071,2.5274,wav2vec2_ctc_forced_alignment,-0.23199,1,13,1,1,True,649,96,315,315,2.5
7,your,34,38,2.5876,2.6879,wav2vec2_ctc_forced_alignment,-0.23199,1,11,1,1,True,649,96,315,315,2.5
8,business,39,47,2.728,2.9687,wav2vec2_ctc_forced_alignment,-0.23199,1,25,2,2,True,640,75,327,327,3.0
9,colleagues,48,58,2.9888,3.3097,wav2vec2_ctc_forced_alignment,-0.23199,1,33,2,2,True,640,75,327,327,3.0
10,lined,59,64,3.3498,3.5705,wav2vec2_ctc_forced_alignment,-0.23199,1,23,1,1,True,661,82,307,307,3.5
11,up,65,67,3.6708,3.7309,wav2vec2_ctc_forced_alignment,-0.23199,1,7,1,1,True,661,82,307,307,3.5
12,and,68,71,3.8112,3.8713,wav2vec2_ctc_forced_alignment,-0.23199,1,7,1,1,True,656,71,319,319,4.0
13,have,72,76,3.9115,4.0318,wav2vec2_ctc_forced_alignment,-0.23199,1,13,1,1,True,656,71,319,319,4.0
14,a,77,78,4.0719,4.1121,wav2vec2_ctc_forced_alignment,-0.23199,1,5,1,1,True,656,71,319,319,4.0
15,good,79,83,4.1321,4.2725,wav2vec2_ctc_forced_alignment,-0.23199,1,15,2,2,True,656,71,319,319,4.0
16,time,84,88,4.3126,4.5132,wav2vec2_ctc_forced_alignment,-0.23199,1,21,1,1,True,630,90,305,305,4.5
