word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,And,0,3,0.5614,0.6215,wav2vec2_ctc_forced_alignment,-0.04668,1,7,1,1,True,535,154,221,221,0.5
1,because,4,11,0.6616,0.9223,wav2vec2_ctc_forced_alignment,-0.04668,1,27,2,2,True,513,156,227,227,1.0
2,they,12,16,0.9624,1.0626,wav2vec2_ctc_forced_alignment,-0.04668,1,11,1,1,True,513,156,227,227,1.0
3,couldn’t,17,25,1.1027,1.3232,wav2vec2_ctc_forced_alignment,-0.04668,3,23,2,2,True,513,156,227,227,1.0
4,join,26,30,1.3633,1.5237,wav2vec2_ctc_forced_alignment,-0.04668,1,17,1,1,True,505,154,232,232,1.5
5,unions,31,37,1.6841,2.0049,wav2vec2_ctc_forced_alignment,-0.04668,1,33,2,2,True,502,159,227,227,2.0
6,many,39,43,2.1653,2.3257,wav2vec2_ctc_forced_alignment,-0.04668,1,17,2,2,True,502,159,227,227,2.0
7,Black,44,49,2.3658,2.5462,wav2vec2_ctc_forced_alignment,-0.04668,1,19,1,1,True,508,162,232,232,2.5
8,workers,50,57,2.6064,2.8871,wav2vec2_ctc_forced_alignment,-0.04668,1,29,2,2,True,508,162,232,232,2.5
9,couldn’t,58,66,2.9673,3.2078,wav2vec2_ctc_forced_alignment,-0.04668,3,25,1,1,True,527,162,228,228,3.0
10,get,67,70,3.2479,3.3482,wav2vec2_ctc_forced_alignment,-0.04668,1,11,2,2,True,529,164,221,221,3.5
11,manufacturing,71,84,3.4083,4.0098,wav2vec2_ctc_forced_alignment,-0.04668,1,61,2,2,True,529,164,221,221,3.5
12,or,85,87,4.0499,4.11,wav2vec2_ctc_forced_alignment,-0.04668,1,7,1,1,True,515,149,239,239,4.0
13,trade,88,93,4.1702,4.3707,wav2vec2_ctc_forced_alignment,-0.04668,1,21,2,2,True,527,155,236,236,4.5
14,work,94,98,4.4108,4.5511,wav2vec2_ctc_forced_alignment,-0.04668,1,15,1,1,True,527,155,236,236,4.5
15,which,101,106,4.6714,4.7917,wav2vec2_ctc_forced_alignment,-0.04668,1,13,2,2,True,527,155,236,236,4.5
16,paid,107,111,4.8719,5.0724,wav2vec2_ctc_forced_alignment,-0.04668,1,21,1,1,True,530,157,239,239,5.0
17,much,112,116,5.1726,5.313,wav2vec2_ctc_forced_alignment,-0.04668,1,15,2,2,True,530,157,239,239,5.0
18,better,117,123,5.3932,5.5937,wav2vec2_ctc_forced_alignment,-0.04668,1,21,1,1,True,538,156,238,238,5.5
19,than,124,128,5.6338,5.734,wav2vec2_ctc_forced_alignment,-0.04668,1,11,1,1,True,538,156,238,238,5.5
20,service,129,136,5.7942,6.0748,wav2vec2_ctc_forced_alignment,-0.04668,1,29,1,1,True,527,138,261,261,6.0
21,work,137,141,6.1149,6.2352,wav2vec2_ctc_forced_alignment,-0.04668,1,14,1,1,True,527,138,261,261,6.0
